"FOURNISSEUR","RÉPARTITION","SERVICE","DIRECTION","NO DE DOSSIER","OBJET","NO DÉCISION","DATE SIGNATURE","MONTANT"
"GROUPE TRIUM INC.","ENTENTE CADRE - RÉPARTITION SELON UTILISATION","SERVICE DE L'APPROVISIONNEMENT","DIRECTION",1176135007,"CONCLURE DES ENTENTES-CADRES POUR UNE PÉRIODE DE DOUZE (12) MOIS, AVEC OPTION DE PROLONGATION DE DOUZE (12) MOIS, AVEC OPALE INTERNATIONAL INC. POUR HOUSSES DE VESTES PARE-BALLES (114 601,33 $, TAXES INCLUSES), AVEC TEN4 BODY ARMOR INC. POUR PANNEAUX BALISTIQUES (339 528,36 $, TAXES INCLUSES), AVEC SURPRENANT ET FILS INC. POUR PANTALONS DE TRAVAIL ET BERMUDAS (203 294,28 $, TAXES INCLUSES), AVEC GROUPE TRIUM INC. POUR MANTEAUX TROIS (3) SAISONS ET VESTES (240 872,63 $, TAXES INCLUSES), BLOUSONS ET PANTALONS IGNIFUGES (102 773,51 $, TAXES INCLUSES), ET AVEC ÉQUIPEMENT DE SÉCURITÉ UNIVERSEL INC. POUR PANTALONS (379 411,75 $, TAXES INCLUSES), SOULIERS ET BOTTILLONS DE SÉCURITÉ (209 217,71 $, TAXES INCLUSES). APPEL D’OFFRES PUBLIC 17-16355 (12 SOUMISSIONNAIRES, 1 SEUL POUR LE GROUPE 10)","CG17 0557",2017-12-15,"102774"
"ÉQUIPEMENT DE SÉCURITÉ UNIVERSEL INC.","ENTENTE CADRE - RÉPARTITION SELON UTILISATION","SERVICE DE L'APPROVISIONNEMENT","DIRECTION",1176135007,"CONCLURE DES ENTENTES-CADRES POUR UNE PÉRIODE DE DOUZE (12) MOIS, AVEC OPTION DE PROLONGATION DE DOUZE (12) MOIS, AVEC OPALE INTERNATIONAL INC. POUR HOUSSES DE VESTES PARE-BALLES (114 601,33 $, TAXES INCLUSES), AVEC TEN4 BODY ARMOR INC. POUR PANNEAUX BALISTIQUES (339 528,36 $, TAXES INCLUSES), AVEC SURPRENANT ET FILS INC. POUR PANTALONS DE TRAVAIL ET BERMUDAS (203 294,28 $, TAXES INCLUSES), AVEC GROUPE TRIUM INC. POUR MANTEAUX TROIS (3) SAISONS ET VESTES (240 872,63 $, TAXES INCLUSES), BLOUSONS ET PANTALONS IGNIFUGES (102 773,51 $, TAXES INCLUSES), ET AVEC ÉQUIPEMENT DE SÉCURITÉ UNIVERSEL INC. POUR PANTALONS (379 411,75 $, TAXES INCLUSES), SOULIERS ET BOTTILLONS DE SÉCURITÉ (209 217,71 $, TAXES INCLUSES). APPEL D’OFFRES PUBLIC 17-16355 (12 SOUMISSIONNAIRES, 1 SEUL POUR LE GROUPE 10)","CG17 0557",2017-12-15,"379412"
"ÉQUIPEMENT DE SÉCURITÉ UNIVERSEL INC.","ENTENTE CADRE - RÉPARTITION SELON UTILISATION","SERVICE DE L'APPROVISIONNEMENT","DIRECTION",1176135007,"CONCLURE DES ENTENTES-CADRES POUR UNE PÉRIODE DE DOUZE (12) MOIS, AVEC OPTION DE PROLONGATION DE DOUZE (12) MOIS, AVEC OPALE INTERNATIONAL INC. POUR HOUSSES DE VESTES PARE-BALLES (114 601,33 $, TAXES INCLUSES), AVEC TEN4 BODY ARMOR INC. POUR PANNEAUX BALISTIQUES (339 528,36 $, TAXES INCLUSES), AVEC SURPRENANT ET FILS INC. POUR PANTALONS DE TRAVAIL ET BERMUDAS (203 294,28 $, TAXES INCLUSES), AVEC GROUPE TRIUM INC. POUR MANTEAUX TROIS (3) SAISONS ET VESTES (240 872,63 $, TAXES INCLUSES), BLOUSONS ET PANTALONS IGNIFUGES (102 773,51 $, TAXES INCLUSES), ET AVEC ÉQUIPEMENT DE SÉCURITÉ UNIVERSEL INC. POUR PANTALONS (379 411,75 $, TAXES INCLUSES), SOULIERS ET BOTTILLONS DE SÉCURITÉ (209 217,71 $, TAXES INCLUSES). APPEL D’OFFRES PUBLIC 17-16355 (12 SOUMISSIONNAIRES, 1 SEUL POUR LE GROUPE 10)","CG17 0557",2017-12-15,"209218"
"CONSTRUCTION MORIVAL LTÉE","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE",1176281002,"ACCORDER UN CONTRAT À CONSTRUCTION MORIVAL LTÉE POUR LA FOURNITURE ET L'INSTALLATION D'UN NOUVEAU RÉSERVOIR HORS TERRE DE DIESEL DE 4 546 LITRES À L'USINE DE PRODUCTION D'EAU POTABLE LACHINE - DÉPENSE TOTALE DE 233 532,62 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 10221 -  (1 SOUMISSIONNAIRE)","CG17 0554",2017-12-15,"233533"
"NEOLECT INC.","88% AGGLO 
12% AUTRE","SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS","DIRECTION DES TRANSPORTS",1176294004,"MAJORER DE 107 421,00 $ (TAXES INCLUSES) LE MONTANT DU CONTRAT OCTROYÉ À NEOLECT INC. POUR L’EXÉCUTION DES TRAVAUX DE REMPLACEMENT DES PROJECTEURS DE SIX (6) ÉDIFICES DU PLAN LUMIÈRE DU VIEUX-MONTRÉAL ET CE, EN UTILISANT LES DÉPENSES INCIDENTES DÉJÀ AUTORISÉES EN VERTU DE LA RÉSOLUTION CG16 0603, PORTANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 263 778,76 $ À 1 371 199,76 $ TAXES INCLUSES","CG17 0552",2017-12-15,"107421"
"SOGEP INC. (CONTRAT 1_17-6022)","100% AGGLO","SERVICE DES GRANDS PARCS_VERDISSEMENT ET DU MONT-ROYAL","DIRECTION",1176710002,"ACCORDER TROIS CONTRATS À SOGEP INC., POUR LA FOURNITURE DE SERVICES D'ENTRETIEN DES PARCS-NATURE, POUR UNE PÉRIODE DE 36 MOIS, SOIT DU 1ER AVRIL 2018 AU 31 MARS 2021 : CONTRAT 17-6022, SECTION OUEST, POUR UNE SOMME DE 1 996 709,19 $, TAXES INCLUSES; CONTRAT 17-6023, SECTION CENTRE, POUR UNE SOMME DE 1 868 946,55 $, TAXES INCLUSES ET LE CONTRAT 17-6024, SECTION EST, POUR UNE SOMME DE 1 947 251,63 $, TAXES INCLUSES – APPEL D'OFFRES PUBLIC 17-15998 (3 SOUMISSIONNAIRES AU TOTAL).","CG17 0534",2017-12-01,"1996709"
"SOGEP INC. (CONTRAT 2_17-6023)","100% AGGLO","SERVICE DES GRANDS PARCS_VERDISSEMENT ET DU MONT-ROYAL","DIRECTION",1176710002,"ACCORDER TROIS CONTRATS À SOGEP INC., POUR LA FOURNITURE DE SERVICES D'ENTRETIEN DES PARCS-NATURE, POUR UNE PÉRIODE DE 36 MOIS, SOIT DU 1ER AVRIL 2018 AU 31 MARS 2021 : CONTRAT 17-6022, SECTION OUEST, POUR UNE SOMME DE 1 996 709,19 $, TAXES INCLUSES; CONTRAT 17-6023, SECTION CENTRE, POUR UNE SOMME DE 1 868 946,55 $, TAXES INCLUSES ET LE CONTRAT 17-6024, SECTION EST, POUR UNE SOMME DE 1 947 251,63 $, TAXES INCLUSES – APPEL D'OFFRES PUBLIC 17-15998 (3 SOUMISSIONNAIRES AU TOTAL).","CG17 0534",2017-12-01,"1868947"
"SOGEP INC. (CONTRAT 3_17-6024)","100% AGGLO","SERVICE DES GRANDS PARCS_VERDISSEMENT ET DU MONT-ROYAL","DIRECTION",1176710002,"ACCORDER TROIS CONTRATS À SOGEP INC., POUR LA FOURNITURE DE SERVICES D'ENTRETIEN DES PARCS-NATURE, POUR UNE PÉRIODE DE 36 MOIS, SOIT DU 1ER AVRIL 2018 AU 31 MARS 2021 : CONTRAT 17-6022, SECTION OUEST, POUR UNE SOMME DE 1 996 709,19 $, TAXES INCLUSES; CONTRAT 17-6023, SECTION CENTRE, POUR UNE SOMME DE 1 868 946,55 $, TAXES INCLUSES ET LE CONTRAT 17-6024, SECTION EST, POUR UNE SOMME DE 1 947 251,63 $, TAXES INCLUSES – APPEL D'OFFRES PUBLIC 17-15998 (3 SOUMISSIONNAIRES AU TOTAL).","CG17 0534",2017-12-01,"1947252"
"SOFTWARE AG INC.","50,2% AGGLO 
49,8% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION CENTRE D'EXPERTISE - PLATEFORMES ET INFRASTRUCTURE",1176871002,"ACCORDER UN CONTRAT DE GRÉ À GRÉ À SOFTWARE AG (CANADA) INC. (FOURNISSEUR UNIQUE), POUR LE RENOUVELLEMENT DU CONTRAT D'ACQUISITION ET D'UTILISATION DE LOGICIELS, POUR LA PÉRIODE DU 1ER JANVIER 2018 AU 31 DÉCEMBRE 2019, POUR UNE SOMME MAXIMALE DE 2 432 528,37 $, TAXES INCLUSES / AUTORISER UN AJUSTEMENT DE LA BASE BUDGÉTAIRE DE 132 300 $ AU SERVICE DES TECHNOLOGIES DE L'INFORMATION POUR L'ANNÉE 2018 / APPROUVER UN PROJET DE CONVENTION À CETTE FIN","CG17 0556",2017-12-15,"2432528"
"GARTNER CANADA CO.","50,2% AGGLO 
49,8% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION",1177438017,"ACCORDER UN CONTRAT DE GRÉ À GRÉ À GARTNER CANADA CO., PAR L'ENTREMISE DE SON ENTENTE AVEC LE CENTRE DE SERVICES PARTAGÉS DU QUÉBEC (CSPQ), POUR UN ABONNEMENT À DES SERVICES-CONSEILS SPÉCIALISÉS EN SOUTIEN À DES DOSSIERS STRATÉGIQUES EN TECHNOLOGIES DE L'INFORMATION, POUR LA PÉRIODE DU 1ER JANVIER 2018 AU 31 DÉCEMBRE 2018, POUR UNE SOMME MAXIMALE DE 697 491,25 $, TAXES INCLUSES, INCLUANT UNE SOMME ADDITIONNELLE DE 248 000$ PRÉVUE AU BUDGET 2018 / APPROUVER LE PROJET DE CONVENTION À CETTE FIN","CG17 0555",2017-12-15,"697491"
"HAINAULT GRAVEL HUISSIERS DE JUSTICE INC.","100% AGGLO","SERVICE DES AFFAIRES JURIDIQUES","DIRECTION DES SERVICES JUDICIAIRES",1177472001,"ACCORDER DEUX (2) CONTRATS DE SERVICES PROFESSIONNELS DE GRÉ À GRÉ ET AUTORISER LES CONVENTIONS À CETTE FIN AVEC LES FIRMES ""HAINAULT GRAVEL HUISSIERS DE JUSTICE INC."" ET  ""PAQUETTE ET ASSOCIÉS, S.E.N.C.R.L., HUISSIERS DE JUSTICE"" POUR LA FOURNITURE DE SERVICES PROFESSIONNELS D'HUISSIERS DE JUSTICE POUR LA SOMME TOTALE DES CONTRATS DE 1 439 220,34 $ TAXES INCLUSES POUR L'ANNÉE 2018.","CG17 0559",2017-12-15,"719610"
"PAQUETTE ET ASSOCIÉS, S.E.N.C.R.L","100% AGGLO","SERVICE DES AFFAIRES JURIDIQUES","DIRECTION DES SERVICES JUDICIAIRES",1177472001,"ACCORDER DEUX (2) CONTRATS DE SERVICES PROFESSIONNELS DE GRÉ À GRÉ ET AUTORISER LES CONVENTIONS À CETTE FIN AVEC LES FIRMES ""HAINAULT GRAVEL HUISSIERS DE JUSTICE INC."" ET  ""PAQUETTE ET ASSOCIÉS, S.E.N.C.R.L., HUISSIERS DE JUSTICE"" POUR LA FOURNITURE DE SERVICES PROFESSIONNELS D'HUISSIERS DE JUSTICE POUR LA SOMME TOTALE DES CONTRATS DE 1 439 220,34 $ TAXES INCLUSES POUR L'ANNÉE 2018.","CG17 0559",2017-12-15,"719610"
"TECHNOLOGIE (TEKNO) INC.","ENTENTE CADRE -
RÉPARTITION
SELON
UTILISATION
","SERVICE DE L'EAU","DIRECTION DE LA GESTION STRATÉGIQUE DES RÉSEAUX D'EAU",1170184003,"CONCLURE DEUX ENTENTES-CADRES POUR L'ACHAT DE COMPTEURS D'EAU AVEC LA FIRME NOUVELLE TECHNOLOGIE (TEKNO) INC. À LA SUITE DE L'APPEL D'OFFRES 17-16458 - 4 SOUMISSIONNAIRES - MONTANT ESTIMÉ DE L'ENTENTE : 870 418.24 $, TAXES INCLUSES.","CG18 0045",2018-01-26,"870418"
"WEST SAFETY SERVICES CANADA INC.","90,3% AGGLO 
9,7% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION SOLUTIONS D'AFFAIRES - SÉCURITÉ PUBLIQUE ET JUSTICE",1170206012,"ACCORDER UN CONTRAT DE GRÉ À GRÉ À WEST SAFETY SERVICES CANADA INC. (FOURNISSEUR UNIQUE) POUR L'ACQUISITION DE CINQ (5) ORDINATEURS DE TABLE ET DIX (10) MONITEURS POUR LE CENTRE D'URGENCE 911 DU QUARTIER GÉNÉRAL DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL (SPVM), POUR UNE SOMME MAXIMALE DE 154 185,73 $, TAXES INCLUSES.","CG18 0044",2018-01-26,"154186"
"DERIC CONSTRUCTION INC.","100% AGGLO","SERVICE DES GRANDS PARCS_VERDISSEMENT ET DU MONT-ROYAL","DIRECTION",1171701014,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 510 623,15 $, TAXES INCLUSES, POUR LA RECONSTRUCTION DE BELVÉDÈRES, DE PASSERELLES ET DE SENTIERS DANS LES PARCS-NATURE DU BOIS-DE-LIESSE ET DE LA POINTE-AUX-PRAIRIES DANS LE CADRE DU CONTRAT ACCORDÉ À DÉRIC CONSTRUCTION INC., (CG160727), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 7 070 948,30 $ À 7 581 571,45 $, TAXES INCLUSES. / APPROUVER UN PROJET DE CONVENTION MODIFIANT LA CONVENTION DE CONTRAT DE CONSTRUCTION À CETTE FIN.","CG17 0558",2018-01-30,"510623"
"UBA INC.","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'ÉPURATION DES EAUX USÉES",1173438011,"ACCORDER UN CONTRAT DE DOUZE (12) MOIS À UBA INC. POUR LA FOURNITURE ET LA LIVRAISON D'HYPOCHLORITE DE SODIUM 10,8 % À 12 % À LA STATION D'ÉPURATION DES EAUX USÉES JEAN-R.-MARCOTTE ET AUX USINES D'EAU POTABLE POUR UNE SOMME MAXIMALE DE 210 487,78 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 17-16529 - 1 SOUMISSIONNAIRE.","CG18 0046",2018-01-26,"210488"
"ARBORICULTURE DE BEAUCE INC.","100% AGGLO","SERVICE DES GRANDS PARCS_VERDISSEMENT ET DU MONT-ROYAL","DIRECTION GESTION DES PARCS ET BIODIVERSITÉ",1174107002,"ACCORDER UN CONTRAT À ARBORICULTURE DE BEAUCE INC. POUR LE SERVICE D’ABATTAGE DE FRÊNES DÉPÉRISSANTS DANS LES PARCS DU MONT-ROYAL ET TIOHTIÀ:KE OTSIRA’KÉHNE - MONTANT TOTAL DE 1 167 619,42 $, TAXES ET CONTINGENCES INCLUSES - APPEL D'OFFRES PUBLIC 17-16370 - CINQ SOUMISSIONNAIRES ","CG18 0059",2018-01-26,"1167619"
"EXPERTS GEOCONSEIL INC.","50,2% AGGLO 
49,8% VILLE","SERVICE DES RESSOURCES HUMAINES","DIRECTION SANTÉ ET MIEUX-ÊTRE",1174346005,"CONCLURE UNE ENTENTE AVEC LA FIRME EXPERTS GEOCONSEIL INC. POUR LES SERVICES PROFESSIONNELS D'AGENTS DE SÉCURITÉ TEL QUE SPÉCIFIÉ DANS LE CODE DE SÉCURITÉ POUR LES TRAVAUX DE CONSTRUCTION DE LA LOI SUR LA SANTÉ ET SÉCURITÉ DU TRAVAIL POUR RÉPONDRE AUX BESOINS DES UNITÉS DE LA VILLE DE MONTRÉAL, POUR UNE SOMME MAXIMALE DE 3 024 366,22 $, TAXES INCLUSES, POUR UNE PÉRIODE DE TROIS (3) ANS, SOIT DU 1ER JANVIER 2018 AU 31 DÉCEMBRE 2020 INCLUSIVEMENT. APPEL D'OFFRES PUBLIC NO AO17-16231 (4 SOUMISSIONNAIRES, DONT 3 CONFORMES) / APPROUVER UN PROJET D'ENTENTE À CETTE FIN.","CG18 0066",2018-01-26,"3024366"
"AMBIDEX INC.","100% AGGLO","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","DIRECTION DE L'URBANISME",1174426002,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À AMBIDEX INC. POUR LA PRODUCTION D'UNE EXPOSITION TEMPORAIRE SUR L'HISTOIRE ET LES VESTIGES DU VILLAGE DES TANNERIES POUR UNE SOMME MAXIMALE DE 126 251,17 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 17-16348 - UN SEUL SOUMISSIONNAIRE / APPROUVER UN PROJET DE CONVENTION À CETTE FIN","CG18 0060",2018-01-26,"126251"
"LE MINISTÈRE DES TRANSPORTS, DE LA MOBILITÉ DURABLE ET DE L'ÉLECTRIFICATION DES TRANSPORTS","70% AGGLO
30% VILLE","SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS","DIRECTION",1175843001,"RATIFIER LE CADRE DE COLLABORATION CONCLU ENTRE LA VILLE DE MONTRÉAL ET LE MINISTÈRE DES TRANSPORTS, DE LA MOBILITÉ DURABLE ET DE L'ÉLECTRIFICATION DES TRANSPORTS POUR LA PRÉPARATION DE PLANS ET DEVIS ET LA RÉALISATION DE TRAVAUX DES OUVRAGES MUNICIPAUX ET AUTORISER UNE DÉPENSE MAXIMALE DE 10 000 000 $, TAXES INCLUSES, POUR LES TRAVAUX AFFÉRENTS","CG18 0042",2018-01-26,"10000000"
"ETHNOSCOP INC.","100% AGGLO","SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS","DIRECTION",1176086006,"CONCLURE UNE ENTENTE-CADRE DE SERVICES PROFESSIONNELS AVEC ETHNOSCOP INC. POUR LA RÉALISATION D'INTERVENTIONS ARCHÉOLOGIQUES REQUISES DANS LE CADRE DES PROJETS DE LA RUE PEEL ET DU QUARTIER DES GARES, POUR UNE SOMME MAXIMALE DE 886 917,91 $, TAXES INCLUSES - APPELS D'OFFRES PUBLIC 17-16302 - UN SOUMISSIONNAIRE / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.","CG18 0051",2018-01-26,"886918"
"RECYCLAGE NOTRE-DAME INC.","ENTENTE CADRE -
RÉPARTITION
SELON
UTILISATION","SERVICE DE L'APPROVISIONNEMENT","DIRECTION",1176134005,"CONCLURE DEUX ENTENTES-CADRES COLLECTIVES AVEC LES FIRMES RECYCLAGE NOTRE-DAME INC.  (3 881 963,01 $ TAXES INCLUSES) ET WM QUÉBEC INC. (3 271 576,26 $ TAXES INCLUSES) POUR UNE PÉRIODE DE TRENTE-SIX (36) MOIS AVEC DEUX POSSIBILITÉS DE PROLONGATION DE DOUZE (12) MOIS, POUR LA FOURNITURE DE SITES POUR L'ÉLIMINATION DE RÉSIDUS DE BALAIS DE RUES ET DE DÉPÔTS À NEIGE PROVENANT DES ARRONDISSEMENTS À LA SUITE DE L'APPEL D'OFFRES PUBLIC NUMÉRO 17-16362 - AU MONTANT TOTAL ESTIMÉ DE 7 153 539,27 $, TAXES INCLUSES ( 4 SOUM.).","CG18 0062",2018-01-26,"3881963"
"WM QUÉBEC INC.","ENTENTE CADRE -
RÉPARTITION
SELON
UTILISATION","SERVICE DE L'APPROVISIONNEMENT","DIRECTION",1176134005,"CONCLURE DEUX ENTENTES-CADRES COLLECTIVES AVEC LES FIRMES RECYCLAGE NOTRE-DAME INC.  (3 881 963,01 $ TAXES INCLUSES) ET WM QUÉBEC INC. (3 271 576,26 $ TAXES INCLUSES) POUR UNE PÉRIODE DE TRENTE-SIX (36) MOIS AVEC DEUX POSSIBILITÉS DE PROLONGATION DE DOUZE (12) MOIS, POUR LA FOURNITURE DE SITES POUR L'ÉLIMINATION DE RÉSIDUS DE BALAIS DE RUES ET DE DÉPÔTS À NEIGE PROVENANT DES ARRONDISSEMENTS À LA SUITE DE L'APPEL D'OFFRES PUBLIC NUMÉRO 17-16362 - AU MONTANT TOTAL ESTIMÉ DE 7 153 539,27 $, TAXES INCLUSES ( 4 SOUM.).","CG18 0062",2018-01-26,"3271576"
"2963-9556 QUÉBEC INC.","100% AGGLO","SERVICE DE L'APPROVISIONNEMENT","DIRECTION",1176135008,"AUTORISER LA DEUXIÈME PROLONGATION, POUR UNE PÉRIODE DE DOUZE (12) MOIS, DE L'ENTENTE-CADRE CONCLUE AVEC L'ENTREPRISE 2963-9556 QUÉBEC INC., POUR LA FOURNITURE DE BAS COUSSINÉS ET DE BAS NON COUSSINÉS À L'USAGE DES EMPLOYÉS DE LA VILLE DE MONTRÉAL (CG16 0454). MONTANT ESTIMÉ POUR LA PÉRIODE DE PROLONGATION : 137 439,51 $ (TAXES INCLUSES). ","CG18 0047",2018-01-26,"137440"
"CLAUDE CORMIER ET ASSOCIÉS INC., LES SERVICES EXP INC,, NADEAU FORESTERIE URBAINE INC., AEDIFICA INC. ET FRANÇOIS MÉNARD","100% VILLE","SERVICE DES GRANDS PARCS_VERDISSEMENT ET DU MONT-ROYAL","DIRECTION AMÉNAGEMENT DES PARCS ET ESPACES PUBLICS",1176192006,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 44 816,25 $, TAXES INCLUSES, POUR LE RÉAMÉNAGEMENT DE LA PORTION NORD DU SQUARE DORCHESTER DANS LE CADRE DU CONTRAT DE SERVICES PROFESSIONNELS ACCORDÉ À CLAUDE CORMIER ET ASSOCIÉS INC., LES SERVICES EXP INC., NADEAU FORESTERIE URBAINE INC., AEDIFICA INC. ET FRANÇOIS MÉNARD (CG16 0122), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 709 062,64 $ À 753 878,89 $, TAXES INCLUSES. / APPROUVER UN PROJET DE CONVENTION MODIFIANT LA CONVENTION DE SERVICES PROFESSIONNELS À CETTE FIN.","CG18 0050",2018-01-26,"44816"
"INNOVATIVE INTERFACES CANADA INC.","50,2% AGGLO 
49,8% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION SOLUTIONS NUMÉRIQUES",1176469004,"HARMONISER LES ÉCHÉANCES ET CONTRATS DE INNOVATIVE INTERFACES CANADA INC. JUSQU'EN 2020 / APPROUVER, ET RATIFIER, UN PROJET D'AVENANT NO 3 À LA CONVENTION INITIALE INTERVENUE ENTRE INNOVATIVE INTERFACES CANADA INC. ET LA VILLE DE MONTRÉAL AFIN DE PROLONGER L'ABONNEMENT AU PRODUIT ENCORE DISCOVERY POUR UNE PÉRIODE DE 3 ANS À COMPTER DU 1ER JUIN 2017, POUR UNE SOMME DE 85 232,28 $, TAXES INCLUSES, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 942 723,26 $ À 2 027 955,54 $, TAXES INCLUSES / ACCORDER, ET RATIFIER, UN CONTRAT DE GRÉ À GRÉ À INNOVATIVE INTERFACES CANADA INC. POUR L'ENTRETIEN DES COMPOSANTES ET DES LICENCES DE LA SUITE MILLENNIUM SUPPORTANT LA TECHNOLOGIE RFID, POUR LA PÉRIODE DU 1ER AVRIL 2017 AU 31 MARS 2020, POUR UNE SOMME MAXIMALE DE 217 461,59 $, TAXES INCLUSES / APPROUVER LE PROJET DE CONVENTION À CETTE FIN","CG18 0086",2018-01-26,"85232"
"INNOVATIVE INTERFACES CANADA INC.","50,2% AGGLO 
49,8% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION SOLUTIONS NUMÉRIQUES",1176469004,"HARMONISER LES ÉCHÉANCES ET CONTRATS DE INNOVATIVE INTERFACES CANADA INC. JUSQU'EN 2020 / APPROUVER, ET RATIFIER, UN PROJET D'AVENANT NO 3 À LA CONVENTION INITIALE INTERVENUE ENTRE INNOVATIVE INTERFACES CANADA INC. ET LA VILLE DE MONTRÉAL AFIN DE PROLONGER L'ABONNEMENT AU PRODUIT ENCORE DISCOVERY POUR UNE PÉRIODE DE 3 ANS À COMPTER DU 1ER JUIN 2017, POUR UNE SOMME DE 85 232,28 $, TAXES INCLUSES, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 942 723,26 $ À 2 027 955,54 $, TAXES INCLUSES / ACCORDER, ET RATIFIER, UN CONTRAT DE GRÉ À GRÉ À INNOVATIVE INTERFACES CANADA INC. POUR L'ENTRETIEN DES COMPOSANTES ET DES LICENCES DE LA SUITE MILLENNIUM SUPPORTANT LA TECHNOLOGIE RFID, POUR LA PÉRIODE DU 1ER AVRIL 2017 AU 31 MARS 2020, POUR UNE SOMME MAXIMALE DE 217 461,59 $, TAXES INCLUSES / APPROUVER LE PROJET DE CONVENTION À CETTE FIN","CG18 0086",2018-01-26,"217462"
"EXCAVATION LOISELLE INC.","48,21% AGGLO 51,79% VILLE","SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS","DIRECTION DES INFRASTRUCTURES",1177231086,"ACCORDER UN CONTRAT À EXCAVATION LOISELLE INC., POUR DES TRAVAUX D’ÉGOUT, DE CONDUITES D’EAU PRINCIPALE ET SECONDAIRE ET DE VOIRIE DANS LES RUES SAINT-PATRICK ET MONTMORENCY, DANS L'ARRONDISSEMENT DU SUD-OUEST. DÉPENSE TOTALE DE 12 169 535,38 $ (CONTRAT: 11 696 216,30 $ ET INCIDENCES: 843 900,00 $), TAXES INCLUSES. APPEL D'OFFRES PUBLIC 232005 - 5 SOUMISSIONNAIRES  ","CG18 0064",2018-01-26,"11696216"
"IBM CANADA LTÉE","50,2% AGGLO 
49,8% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION CENTRE D'EXPERTISE - ESPACE DE TRAVAIL",1177242001,"CONCLURE AVEC IBM CANADA LTÉE UNE ENTENTE-CADRE D'UNE DURÉE DE TROIS (3) ANS POUR DES SERVICES DE SUPPORT ET D'ENTRETIEN D'ÉQUIPEMENTS DE TÉLÉCOMMUNICATION ET DE SÉCURITÉ ET L'ACQUISITION DE PRODUITS DE REMPLACEMENT - APPEL D'OFFRES PUBLIC 17-16243 - (UN SOUMISSIONNAIRE) - (LOT 1 : 2 007 162,31 $) ","CG18 0061",2018-01-26,"2007162"
"GROUPE TNT INC.","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'ÉPURATION DES EAUX USÉES",1177526038,"ACCORDER UN CONTRAT À GROUPE TNT INC. POUR LA CONSTRUCTION DU BASSIN DE RÉTENTION WILLIAM D’UNE CAPACITÉ DE 12 000 M3 DANS L’ARRONDISSEMENT SUD-OUEST – PHASE I, POUR UNE SOMME MAXIMALE DE 34 867 796,04 $, TAXES INCLUSES – DÉPENSES TOTALES DE 37 867 796,04 $ - APPEL D’OFFRES PUBLIC 5068-EC-308-15 - 4 SOUMISSIONNAIRES","CG18 0065",2018-01-26,"34867796"
"FILTRUM INC.","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'ÉPURATION DES EAUX USÉES",1177526039,"ACCORDER UN CONTRAT À FILTRUM INC., POUR LE REMPLACEMENT DE SEPT (7) ACTIONNEURS HYDRAULIQUES DANS QUATRE (4) STRUCTURES DE RÉGULATION DE L’INTERCEPTEUR NORD DE LA VILLE DE MONTRÉAL, POUR UNE SOMME MAXIMALE DE 801 608,01 $, TAXES INCLUSES – APPEL D’OFFRES PUBLIC IP17043-161723-C – 4 SOUMISSIONNAIRES.","CG18 0049",2018-01-26,"801608"
