REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Montréal","École Polytechnique de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Etienne ROBERT","Flammes de diffusion non pré-mélangées: études fondamentales et applications","MEES",272788,,,272788,764413,"Sciences naturelles et génie","Énergie","Production, distribution et utilisation rationelle de l'énergie","Génie mécanique"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Selena SAGAN","Laboratoire d'étude des interactions hôte-virus dans les infections à virus de l'hépatite C","MEES",80000,,,80000,200001,"Santé","Biopharmaceutique","Génie biomédical et pharmacologie","Microbiologie, virologie et parasitologie"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Nicolas PILON","Acquisition d'un trieur de cellule à haute performance pour des études innovatrices en recherche biomédicale","MEES",100000,,,100000,272700,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie cellulaire"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marc-André GAUTHIER","Laboratoire des matériaux bio-hybrides (LBM)","MEES",221786,,,221786,557564,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Science et technologie des matériaux"
"Montréal","Université de Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal - Hôpital Maisonneuve-Rosemont","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jean-Sébastien DELISLE","Immunothérapie adoptive humaine, de la découverte au dévelopement et la mise en oeuvre clinique","MSSS",,209100,,209100,522751,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Autre recherche","Immunologie"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Marcelo WANDERLEY","Laboratoire de recherche sur le développement et l'étude de la performance musicale avec des instruments de musique numériques (PR2P)","MEES",366158,,,366158,915395,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Culture","Recherche-création en musique"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Luca RAZZARI","Laboratoire des nanostructures pour la spectroscopie renforcée et l'optique non linéaire (NASNO Lab)","MEES",242280,,,242280,617335,"Sciences naturelles et génie","Optique-photonique","Industries électroniques et connexes","Physique"
"Estrie","Université de Sherbrooke","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jean-François PRATTE","Banc de test pour caractérisation optique de détecteurs monophotoniques","MEES",113690,,,113690,294225,"Sciences naturelles et génie","Micro-électronique","Industries électroniques et connexes","Génie électrique et électronique"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Ira Tanya HANDA","Infrastructure pour soutenir la recherche sur la biodiversité et la décomposition de la litière dans les forêts canadiennes","MEES",120000,,,120000,300000,"Sciences naturelles et génie","Environnement et science du climat","Sylviculture","Évolution et écologie"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Morgan SONDEREGGER","Laboratoire de modélisation linguistique","MEES",78817,,,78817,229659,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Recherches à caractère général et autres recherches médicales","Linguistique"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Simon COLLIN","TEAM-lab (laboratoire "technologies et apprentissages mobiles")","MEES",120000,,,120000,300000,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Enseignement, formation, perfectionnement et recyclage","Sciences humaines et sociales (SHS)"
"Montréal","Université de Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal - Institut de réadaptation Gingras-Lindsay-de-Montréal","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Dorothy BARTHÉLEMY","Évaluations multimodales des interactions neuronales assurant l'équilibre chez l'humain","MSSS",,100397,,100397,253682,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jean-Mathieu BEAUREGARD","Acquisition d'une caméra de tomographie par émission de positrons (TEP) pré-clinique et d'une unité de radiosynthèse","MSSS",,167714,,167714,419632,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Radiologie/radiobiologie/médecine nucléaire"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Maritza JARAMILLO PATINO","Infrastructure pour des études sur le contrôle traductionnel lors des infections parasitaires et bactériennes","MEES",202355,,,202355,515031,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Espèces vivantes et biotopes","Microbiologie"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","John GALATY",""Canopée institutionnelle" de la conservation communautaire : gouvernance sociale et " environnementalité " en Afrique de l'est","MEES",50500,,,50500,126250,"Sciences sociales et humaines","Développement durable et technologies vertes","Aménagement général du territoire","Anthropologie"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Claude HILLAIRE-MARCEL","Amélioration des performances analytiques en spectrométrie de masse au GEOTOP","MEES",63600,,,63600,185685,"Sciences naturelles et génie","Environnement et science du climat","Hydrologie","Sciences de la terre"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","David DEWEZ","Laboratoire de biochimie analytique et environnementale des contaminants","MEES",107295,,,107295,268239,"Sciences naturelles et génie","Environnement et science du climat","Eau","Biochimie"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Fabrice MARANDOLA","Le geste expert et son contrôle dans la percussion contemporaine","MEES",80000,,,80000,200000,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Recherche-création en musique"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Dilson RASSIER","Un système pour étudier la mécanique des molécules individuelles avec une haute résolution spatiale et temporelle","MEES",279038,,,279038,697595,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Santé","Sciences naturelles et Génie (SNG)"
"Montréal","Université de Montréal","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jeanne LEBLOND CHAIN","Plateforme de formulation basée sur des lipides multifonctionnels","MEES",143953,,,143953,359882,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Produits pharmaceutiques","Chimie organique"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Hôpital du Saint-Sacrement","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Solange LANDREVILLE","Analyse des mécanismes moléculaires régulés par l'oxygène dans les cellules de l'oeil","MSSS",,127871,,127871,319678,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Troubles de la parole, de la vision et de l'ouïe"
"Capitale-Nationale","Université Laval","CIUSSS de la Capitale-Nationale - Institut universitaire en santé mentale de Québec - Centre de recherche","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Martin LÉVESQUE","Étude du développement et de la plasticité du cerveau: de la synapse à la formation des circuits","MSSS",,329974,,329974,824935,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Neurosciences"
"Montréal","Université de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Fahima NEKKA","Développement de logiciels de pharmacométrie avancée orientés vers la pratique clinique et industrielle","MEES",117234,,,117234,293085,"Santé","Biopharmaceutique","Santé","Sciences naturelles et Génie (SNG)"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Claudia MITCHELL","Technologies de non-violence : laboratoire sur les médias sociaux et numériques","MEES",54854,,,54854,137135,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Mutations, relations et conflits sociaux","Sciences humaines et sociales (SHS)"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Manu RANGACHARI","Création d'un laboratoire d'immunologie moléculaire et cellulaire pour étudier la pathogenèse de l'auto-immunité dans le système nerveux central médiée par les cellules T.","MSSS",,128002,,128002,338169,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Immunologie"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Geraldine DELBES","Laboratoire d'étude des cellules germinales mâles immatures","MEES",217668,,,217668,553192,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Reproduction et développement"
"Capitale-Nationale","Université Laval","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Rong SHI","Un laboratoire de cristallographie de protéines par rayons X","MEES",307848,,,307848,776958,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Biochimie"
"Montréal","Université de Montréal","Centre hospitalier universitaire Mère-Enfant - Hôpital Ste-Justine","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Anick BÉRARD","Cohorte des grossesses du Québec","MSSS",,120000,,120000,300000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Santé des populations et services de santé"
"Estrie","Université de Sherbrooke","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Pascale BEAUREGARD","Plateforme pour l'étude moléculaire et chimique des interactions entre les racines de plantes et les bactéries bénéfiques","MEES",120000,,,120000,320172,"Sciences naturelles et génie","Agroalimentaire","Agriculture","Microbiologie, virologie et parasitologie"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Pierre GAUTHIER","Modélisation et observation de l'atmosphère","MEES",160000,,,160000,401611,"Sciences naturelles et génie","Calcul haute performance","Utilisation rationnelle de l'énergie","Science de l'atmosphère"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jérome CLAVERIE","Laboratoire d'analyse cristalline des matériaux fonctionnels","MEES",110000,,,110000,276014,"Sciences naturelles et génie","Nanosciences et nanotechnologies","n.d.","Chimie des polymères"
"Montréal","Université de Montréal","Institut de cardiologie de Montréal (ICM)","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marie LORDKIPANIDZÉ","Phénotypage exhaustif de la fonction plaquettaire pour le développement de la médecine de précision dans les maladies cardiovasculaires","MSSS",,120640,,120640,301600,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Pharmacologie et toxicologie"
"Montréal","Université de Montréal","Centre de recherche du CHUM","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Greg FITZHARRIS","Comprendre les causes de l'aneuploïdie dans les ovocytes et les embryons","MSSS",,120000,,120000,300000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Biologie cellulaire"
"Bas-Saint-Laurent","Cégep de Rimouski","Service de recherche et d'expertise en transformation des produits forestiers (SEREX)","2013-2014","Fonds collège-industrie pour l'innovation","Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI","Julie LESSARD","Renforcement de l'infrastructure de recherche et développement en sciences du bois et des écomatériaux","MEES",254025,,,254025,639610,"Sciences naturelles et génie","Développement durable et technologies vertes","Ressources renouvelables: production et technologies","Génie forestier"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Hôpital Saint-François d'Assise","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jorge SOLIZ","Etude de l'impact de cytokines dans le contrôle neural de la respiration chez les rongeurs nouveau-né","MSSS",,118208,,118208,295495,"Santé","Biopharmaceutique","Produits pharmaceutiques","Neurosciences"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marie-Eve TREMBLAY","Laboratoire de dynamique intercellulaires neuro-immunitaires du cerveau sain et malade","MSSS",,150000,,150000,487055,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jonathan VERREAULT","Analyse de contaminants organiques halogénés émergents dans l'environnement","MEES",77527,,,77527,193818,"Sciences naturelles et génie","Environnement et science du climat","Pollution et protection de l'environnement","Environnement"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Ioannis RAGOUSSIS","Infrastructure de la génomique de cellules individuelles","MEES",400000,,,400000,1000000,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Développement de logiciels","Génétique"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Louis DE BEAUMONT","Optimisation de la plasticité cérébrale par stimulation non-invasive du cerveau chez les traumatisés crâniens légers","MEES",48574,,,48574,128275,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Neurosciences"
"Capitale-Nationale","Université Laval","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Alison MUNSON","Analyses environnementales de pointe pour le maintien et la restauration des écosystèmes productifs","MEES",104000,,,104000,260000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Ressources renouvelables (rech. générale)","Science du sol"
"Abitibi-Témiscamingue","Université du Québec en Abitibi-Témiscamingue (UQAT)","","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Ahmed KOUBAA","Chaire de recherche du Canada en valorisation caractérisation et transformation du bois","MEES",425000,,,425000,1063000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Autres produits manufacturés (incluant bois et papier)","Génie forestier"
"Capitale-Nationale","Université Laval","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Laurent BAZINET","Plateforme haute performance de séparation assistée par champ électrique et de caractérisation de molécules bioactives","MEES",398827,,,398827,997069,"Sciences naturelles et génie","Développement durable et technologies vertes","Fabrication de produits alimentaires et de boissons","Science et technologie de l'alimentation"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Marie LAROCQUE","Infrastructure de recherche sur la recharge des eaux souterraines (IRRES)","MEES",215492,,,215492,556504,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Sol et nappe phréatique","Hydrologie"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jonathan BRITT","Outils pour la cartographie et la manipulation des circuits neuronaux de la motivation","MEES",150000,,,150000,376800,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Drogues et toxicomanie","Neurosciences"
"Montréal","Université de Montréal","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Moutih RAFEI","Établissement d'un laboratoire de pointe spécialisé dans l'étude de développment et la modulation des lymphocytes T","MEES",81001,,,81001,210203,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Génie biomédical et pharmacologie","Immunologie"
"Montréal","Université de Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal - Institut universitaire de gériatrie de Montréal (IUGM)","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Chantal DUMOULIN","Améliorer le traitement de l'incontinence urinaire des femmes âgées canadiennes: soutien à l'innovation au laboratoire incontinence et vieillissement du CRIUGM/Université de Montréal","MSSS",,97864,,97864,244660,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Sciences médicales cliniques, divers"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Yves PRAIRIE","Une plateforme analytique en support à un réseau canadien d'observatoire des lacs","MEES",100000,,,100000,265999,"Sciences naturelles et génie","Environnement et science du climat","Eau","Environnement"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Guy A. ROULEAU","Génétique des maladies neurologiques et neurodéveloppementales","MEES",127906,,,127906,321765,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Génétique"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Allen EHRLICHER","Mécanique biologique active","MEES",280000,,,280000,700000,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Génie biomédical et pharmacologie","Sciences naturelles et Génie (SNG)"
"Outaouais","Université du Québec en Outaouais (UQO)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Christian MESSIER","La surveillance et l'adaptation des forêts aux changements globaux","MEES",183601,,,183601,497002,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Sylviculture","Évolution et écologie"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Andrew GONZALEZ","Étangs expérimentaux à grande échelle pour la recherche sur le changement global","MEES",374083,,,374083,935207,"Sciences naturelles et génie","Environnement et science du climat","Environnement (rech. générale)","Évolution et écologie"
"Montréal","Université de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Aarlenne KHAN","Interactions entre l'attention et les processus sensorimoteurs et cognitifs","MEES",220801,,,220801,552004,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Tomislav FRISCIC","Chimie verte et produits chimiques verts","MEES",797963,,,797963,1994907,"Sciences naturelles et génie","Environnement et science du climat","Environnement (rech. générale)","Chimie inorganique"
"Montréal","Université McGill","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Rebecca HARRINGTON","Observatoire de la dynamique de la rupture sismique","MEES",88000,,,88000,220000,"Sciences naturelles et génie","Environnement et science du climat","Croûte et enveloppe terrestres","Géophysique"
"Capitale-Nationale","Université Laval","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Holly WITTEMAN","Développement et évaluation d'outils pour soutenir de meilleurs processus de décision et de décisions de santé","MEES",116809,,,116809,310872,"Santé","TIC (télécommunications, multimédia, logiciels, services informatiques)","Santé","Recherches sur les services de santé - général"
"Capitale-Nationale","Université Laval","","2015-2016","Fonds d'innovation","","Louis BERNATCHEZ","LARSEM: Laboratoire aquatique de recherche en sciences environnementales et médicales","MEES",560000,,,560000,2465125,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Pêche et pisciculture","Biologie animale"
"Montréal","Université McGill","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Natalya GOMEZ","Modélisation des interactions entre le niveau de la mer, la nappe glaciaire et le solide terrestre","MEES",88000,,,88000,220011,"Sciences naturelles et génie","Environnement et science du climat","Environnement (rech. générale)","Géophysique"
"Montréal","Université Concordia","","2015-2016","Fonds d'innovation","","Vincent MARTIN","Infrastructure de biologie synthétique pour une fabrique de génomes","MEES",968040,,,968040,2472169,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Autre recherche","Biologie moléculaire et cellulaire"
"Montréal","Université Concordia","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Thien Thanh DANG VU","Un laboratoire de recherche sur le sommeil consacré à l'étude de l'activité oscillatoire du cerveau et de son importance pour la santé cognitive et la qualité du sommeil","MEES",250000,,,250000,680205,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Estrie","Université de Sherbrooke","CIUSSS de l'Estrie - Centre hospitalier universitaire de Sherbrooke (CHUS) - Centre de recherche clinique Étienne-Le Bel","2015-2016","Fonds d'innovation","","Philippe SARRET","Traiter la douleur: de la conception moléculaire à l'évaluation préclinique","MEES,MSSS",2062823,666983,,2729806,6824516,"Santé","Biopharmaceutique","Recherches médicales, traitement hospitalier, chirurgie","Pharmacologie et toxicologie"
"Montréal","Université de Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal - Hôpital Maisonneuve-Rosemont","2015-2016","Fonds d'innovation","","Guy SAUVAGEAU","Une approche chimio- et protéogénomique en médecine personnalisée pour la leucémie myéloïde aiguë","MEES,MSSS",4646080,253920,,4900000,12250000,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Cancer/oncologie"
"Montréal","Université McGill","","2015-2016","Fonds d'innovation","","Morag PARK","Ciblage du microenvironnement tumoral : faire le pont entre la recherche fondamentale et la thérapie","MEES",2389839,,,2389839,5974598,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Génie biomédical et pharmacologie","Cancer/oncologie"
"Montréal","Université McGill","Centre de recherche interdisciplinaire en réadaptation du Montréal Métropolitain (CRIR) - Hôpital juif de réadaptation","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marc ROIG","Laboratoire de la mémoire et de la réadaptation motrice","MSSS",,69840,,69840,174600,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Neurosciences"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Mathieu PICHÉ","Électrophysiologie et neurostimulation pour l'étude des interactions entre l'attention, la douleur et les émotions","MEES",400000,,,400000,1072464,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Psychologie en SNG"
"Montréal","Université McGill","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Timothy MERLIS","Chaire de recherche du Canada sur les dynamiques atmosphériques et climatiques","MEES",80000,,,80000,215600,"Sciences naturelles et génie","Environnement et science du climat","Atmosphère","Science de l'atmosphère"
"Montréal","Université Concordia","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Joshua NEVES","Le laboratoire sur les médias émergents","MEES",100000,,,100000,291177,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Communications et études des médias"
"Montréal","Université Concordia","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Mihaela IORDANOVA","Chaire de recherche du Canada en neurosciences comportementales","MEES",110000,,,110000,375415,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Psychologie en SNG"
"Capitale-Nationale","Université Laval","","2015-2016","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Christian LANDRY","Biologie cellulaire évolutionniste","MEES",156529,,,156529,391325,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Autre recherche","Génétique"
"Montérégie","Cégep de St-Hyacinthe","Cintech agroalimentaire - Centre d'innovation technologique en agroalimentaire","2014-2015","Fonds collège-industrie pour l'innovation","Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI","Louis SASSEVILLE","Lumière pulsée: technologie innovante pour des fruits et légumes à haute valeur ajoutée","MEES",190329,,,190329,477829,"Sciences naturelles et génie","Agroalimentaire","Production et technologie industrielles","Science et technologie de l'alimentation"
"Montréal","Université de Montréal","Institut de recherches cliniques de Montréal (IRCM)","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Frédéric CHARRON","Signalisation de Shh dans le développement cérébral normal et pathologique","MEI",,,111680,111680,279201,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Maladies organiques du système nerveux central"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2014-2015","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Dany DUMONT","Laboratoire d'éco-informatique pour la Chaire en biogéographie et écologie des métacommunautés","MEES",75000,,,75000,187500,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Espèces vivantes et biotopes","Évolution et écologie"
"Saguenay-Lac-Saint-Jean","Université du Québec à Chicoutimi (UQAC)","","2015-2016","Fonds d'innovation","","Jean PERRON","Infrastructure spécialisée dans la simulation du givrage atmosphérique pour en étudier les moyens de prévention","MEES",284832,,,284832,712081,"Sciences naturelles et génie","Aérospatiale","Systèmes de transport","Génie mécanique"
"Montréal","Université de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Philippe POULLAOUEC-GONIDEC","Laboratoire d'innovation paysagère (LIP)","MEES",258896,,,258896,647239,"Sciences sociales et humaines","Développement durable et technologies vertes","Aménagement général du territoire","Urbanisme, aménagement rég. et études envir."
"Estrie","Université de Sherbrooke","","2015-2016","Fonds d'innovation","","Bertrand REULET","Nouvelle initiative pour l'avancement de la science et des technologies quantiques de l'information","MEES",3197348,,,3197348,7993404,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Industries électroniques et connexes","Physique de la matière condensée"
"Montréal","Université McGill","","2015-2016","Fonds d'innovation","","Mark LATHROP","Initiative  canadienne en génomique (CGEn) : un réseau national d'outils génomiques pour transformer la recherche sur les sciences de la vie","MEES",9964045,,,9964045,24910112,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Génétique"
"Montréal","École Polytechnique de Montréal","","2014-2015","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Stéphane KÉNA-COHEN","Laboratoire de photonique nanostructurée et moléculaire","MEES",185000,,,185000,476114,"Sciences naturelles et génie","Optique-photonique","Industries électroniques et connexes","Physique"
"Capitale-Nationale","Université Laval","","2015-2016","Fonds d'innovation","","Benoit GOSSELIN","Plateforme pour la conception avancée menant à la fabrication de micronanotechnologies","MEES",2198000,,,2198000,5495000,"Sciences naturelles et génie","Micro-électronique","Industries électroniques et connexes","Génie électrique et électronique"
